FoodsConsumedTogether,Frequency
"Aloo Urad Dal, Roti, Salad", 2045
"Aloo Moong Dal, Roti, Curd", 2055
"Aloo Masoor Dal, Roti, Pickle", 2065
"Aloo Chana Dal, Roti, Salad", 2075
"Aloo Toor Dal, Roti, Curd", 2085
"Aloo Rajma, Roti, Pickle", 2095
"Aloo Chole, Roti, Salad", 2105
"Aloo Kabuli Chana, Roti, Curd", 2115
"Aloo Lobia, Roti, Pickle", 2125
"Aloo Matki, Roti, Salad", 2135
"Aloo Moth, Roti, Curd", 2145
"Aloo Urad Dal, Roti, Pickle", 2155
"Aloo Moong Dal, Roti, Salad", 2165
"Aloo Masoor Dal, Roti, Curd", 2175
"Aloo Chana Dal, Roti, Pickle", 2185
"Aloo Toor Dal, Roti, Salad", 2195
"Aloo Rajma, Roti, Curd", 2205
"Aloo Chole, Roti, Pickle", 2215
"Aloo Kabuli Chana, Roti, Salad", 2225
"Aloo Lobia, Roti, Curd", 2235
"Aloo Matki, Roti, Pickle", 2245
"Aloo Moth, Roti, Salad", 2255
"Aloo Urad Dal, Roti, Curd", 2265
"Aloo Moong Dal, Roti, Pickle", 2275
"Aloo Masoor Dal, Roti, Salad", 2285
"Aloo Chana Dal, Roti, Curd", 2295
"Aloo Toor Dal, Roti, Pickle", 2305
"Aloo Rajma, Roti, Salad", 2315
"Aloo Chole, Roti, Curd", 2325
"Aloo Kabuli Chana, Roti, Pickle", 2335
"Aloo Lobia, Roti, Salad", 2345
"Aloo Matki, Roti, Curd", 2355
"Aloo Moth, Roti, Pickle", 2365
"Aloo Urad Dal, Roti, Salad", 2375
"Aloo Moong Dal, Roti, Curd", 2385
"Aloo Masoor Dal, Roti, Pickle", 2395
"Aloo Chana Dal, Roti, Salad", 2405
"Aloo Toor Dal, Roti, Curd", 2415
"Aloo Rajma, Roti, Pickle", 2425
"Aloo Chole, Roti, Salad", 2435
"Aloo Kabuli Chana, Roti, Curd", 2445
"Aloo Lobia, Roti, Pickle", 2455
"Aloo Matki, Roti, Salad", 2465
"Aloo Moth, Roti, Curd", 2475
"Aloo Urad Dal, Roti, Pickle", 2485
"Aloo Moong Dal, Roti, Salad", 2495
"Aloo Masoor Dal, Roti, Curd", 2505
